Exp,RA_train,NonRA_train,Total_train,Best_epoch,Best_valL,Best_valAcc,Accuracy,Prec_macro,Rec_macro,F1_macro,F1_NonRA,F1_RA,ROC_AUC
1,49,54,103,14,1.8227,0.4857,0.3783,0.506,0.6868,0.2837,0.0235,0.544,0.5849
2,54,54,108,1,1.9774,0.25,0.2247,0.5048,0.6094,0.189,0.019,0.3591,0.9472
3,51,54,105,1,1.8584,0.2,0.2097,0.5047,0.6019,0.1786,0.0186,0.3386,0.9566
4,46,54,100,1,1.7853,0.2286,0.2285,0.5048,0.6113,0.1916,0.019,0.3642,0.9774
5,47,54,101,6,1.5542,0.4071,0.3184,0.5054,0.6566,0.2493,0.0215,0.477,0.9264
6,46,54,100,6,1.5251,0.4214,0.3333,0.5056,0.6642,0.2581,0.022,0.4943,0.6887
7,54,54,108,6,0.726,0.7571,0.6592,0.5108,0.8283,0.4174,0.0421,0.7927,0.8189
8,48,54,102,6,0.4259,0.8643,0.7753,0.5161,0.8868,0.4674,0.0625,0.8723,0.8377
9,50,54,104,3,0.8817,0.6571,0.5094,0.5075,0.7528,0.3507,0.0296,0.6717,0.9302
10,48,54,102,6,0.4028,0.8429,0.7828,0.5167,0.8906,0.4708,0.0645,0.8771,0.9547
11,54,54,108,9,0.5637,0.8143,0.6779,0.4945,0.3415,0.404,0.0,0.808,0.5057
12,53,54,107,3,0.3763,0.85,0.8202,0.5081,0.6613,0.4704,0.04,0.9008,0.5698
